FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
1,001,Kaivopuisto,Brunnsparken,Kaivopuisto,Meritori 1,Havstorget 1,Helsinki,Helsingfors,CityBike Finland,30,24.9502928896903,60.155444793821
2,002,Laivasillankatu,Skeppsbrogatan,Laivasillankatu,Laivasillankatu 14,Skeppsbrogatan 14,Helsinki,Helsingfors,CityBike Finland,12,24.9563474717587,60.1609590943154
3,003,Kapteeninpuistikko,Kaptensskvären,Kapteeninpuistikko,Tehtaankatu 13,Fabriksgatan 13,Helsinki,Helsingfors,CityBike Finland,19,24.9449274,60.1581892
4,004,Viiskulma,Femkanten,Viiskulma,Fredrikinkatu 19,Fredriksgatan  19,Helsinki,Helsingfors,CityBike Finland,14,24.9417758,60.1609859
5,005,Sepänkatu,Smedsgatan,Sepänkatu,Tehtaankatu 25,Fabriksgatan 25,Helsinki,Helsingfors,CityBike Finland,32,24.9362853,60.1579483
6,006,Hietalahdentori,Sandvikens torg,Hietalahdentori,Hietalahdenkatu 2,Sandviksgatan 2,Helsinki,Helsingfors,CityBike Finland,24,24.9297099,60.1622251
7,007,Designmuseo,Designmuseet,Design Museum,Korkeavuorenkatu 23,Högbergsgatan 23,Helsinki,Helsingfors,CityBike Finland,14,24.94596,60.1631032
8,008,Vanha kirkkopuisto,Gamla kyrkoparken,Vanha kirkkopuisto,Annankatu 16,Annegatan 16,Helsinki,Helsingfors,CityBike Finland,25,24.9391499,60.1652883
9,009,Erottajan aukio,Skillnadsplatsen,Erottajan aukio,Eteläesplanadi 22,Södra esplanaden 22,Helsinki,Helsingfors,CityBike Finland,1,24.9441349288079,60.1669116668204
10,010,Kasarmitori,Kaserntorget,Kasarmitori,Fabianinkatu 13,Fabiansgatan 13,Helsinki,Helsingfors,CityBike Finland,29,24.94947287873,60.1650171805
11,011,Unioninkatu,Unionsgatan,Unioninkatu,Eteläesplanadi 1,Södra esplanaden 1,Helsinki,Helsingfors,CityBike Finland,22,24.9510227,60.1674573
12,012,Kanavaranta,Kanalkajen,Kanavaranta,Kanavaranta 1,Kanalkajen 1,Helsinki,Helsingfors,CityBike Finland,26,24.9583814,60.168384
13,013,Merisotilaantori,Flottisttorget,Merisotilaantori,Merisotilaantori,Flottisttorget,Helsinki,Helsingfors,CityBike Finland,12,24.9755341,60.1678703
14,014,Senaatintori,Senatstorget,Senate Square,Aleksanterinkatu 22,Alexandersgatan 22,Helsinki,Helsingfors,CityBike Finland,22,24.9526414,60.1691278
15,015,Ritarikatu,Riddaregatan,Ritarikatu,Ritarikatu 7,Riddaregatan 7,Helsinki,Helsingfors,CityBike Finland,12,24.95555819284,60.17110664588
16,016,Liisanpuistikko,Elisabetsskvären,Liisanpuistikko,Liisankatu 1,Elisabetsgatan 1,Helsinki,Helsingfors,CityBike Finland,16,24.9613747,60.1741822
17,017,Varsapuistikko,Fölskvären,Varsapuistikko,Yrjö-Koskisen katu 1,Yrjö-Koskinens gata 1,Helsinki,Helsingfors,CityBike Finland,30,24.9494791,60.1731029
18,018,Porthania,Porthania,Porthania,Yliopistonkatu 3,Universitetsgatan 3,Helsinki,Helsingfors,CityBike Finland,21,24.9481463998,60.16986222858
19,019,Rautatientori / itä,Järnvägstorget/öst,Central Railway Station/East,Rautatientori 1,Järnvägstorget 1,Helsinki,Helsingfors,CityBike Finland,21,24.9425268,60.1708236
20,020,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenpuisto,Bergbominkuja 1,Bergbomsgränden 1,Helsinki,Helsingfors,CityBike Finland,22,24.9433010006817,60.1731989417251
21,021,Töölönlahdenkatu,Tölöviksgatan,Töölönlahdenkatu,Töölönlahdenkatu 1,Tölöviksgatan 1,Helsinki,Helsingfors,CityBike Finland,49,24.939284,60.1729435
22,022,Rautatientori / länsi,Järnvägstorget/väst,Central Railway Station/West,Kaivokatu 1,Brunnsgatan 1,Helsinki,Helsingfors,CityBike Finland,17,24.9397601,60.1706061
23,023,Kiasma,Kiasma,Kiasma,Mannerheiminaukio 1,Mannerheimplatsen 1,Helsinki,Helsingfors,CityBike Finland,30,24.9374279,60.1712579
24,024,Mannerheimintie,Mannerheimvägen,Mannerheimintie,Mannerheiminitie 18,Mannerheimvägen 18,Helsinki,Helsingfors,CityBike Finland,21,24.9394195,60.1690724
25,025,Narinkka,Narinken,Narinkka,Narinkka 1,Narinken 1,Helsinki,Helsingfors,CityBike Finland,41,24.9351212,60.1700844
26,026,Kamppi (M),Kampen (M),Kamppi (M),Fredrikinkatu 44,Fredriksgatan 44,Helsinki,Helsingfors,CityBike Finland,32,24.9305373,60.1686095
27,027,Eerikinkatu,Eriksgatan,Eerikinkatu,Eerikinkatu 8,Eriksgatan 8,Helsinki,Helsingfors,CityBike Finland,14,24.9357851,60.1673332
28,028,Lastenlehto,Barnlunden,Lastenlehto,Lapinrinne,Lappbrinken,Helsinki,Helsingfors,CityBike Finland,16,24.927021,60.1658121
29,029,Baana,Banan,Baana,Ruoholahdenkatu 23,Gräsviksgatan 23,Helsinki,Helsingfors,CityBike Finland,16,24.9225658,60.164088
30,030,Itämerentori,Östersjötorget,Itämerentori,Itämerentori 1,Östersjötorget 1,Helsinki,Helsingfors,CityBike Finland,42,24.9145165,60.1635309
31,031,Marian sairaala,Maria sjukhus,Maria Hospital,Pohjoinen Rautatiekatu 33,Norra Järnvägsgatan 33,Helsinki,Helsingfors,CityBike Finland,18,24.9220763,60.1680998
32,032,Eläinmuseo,Naturhistoriska museet,Finnish Museum of Natural History,Pohjoinen Rautatiekatu 13,Norra Järnvägsgatan 13,Helsinki,Helsingfors,CityBike Finland,20,24.9312234051774,60.1718700553732
33,033,Kauppakorkeakoulu,Handelshögskolan,Hanken School of Economics,Arkadiankatu 20,Arkadiagatan 20,Helsinki,Helsingfors,CityBike Finland,16,24.924961,60.1711591
34,034,Kansallismuseo,Nationalmuseum,National Museum,Mannerheimintie 30,Mannerheimvägen 30,Helsinki,Helsingfors,CityBike Finland,17,24.9329875,60.1739641
35,035,Cygnaeuksenkatu,Cygnaeusgatan,Cygnaeuksenkatu,Cygnaeuksenkatu 1,Cygnaeusgatan 1,Helsinki,Helsingfors,CityBike Finland,16,24.92822758053,60.174063715
36,036,Apollonkatu,Apollogatan,Apollonkatu,Runeberginkatu 43,Runebergsgatan 43,Helsinki,Helsingfors,CityBike Finland,13,24.9223942,60.1760798
37,037,Töölönkatu,Tölögatan,Töölönkatu,Pohjoinen Hesperiankatu 3,Norra Hesperiagatan 3,Helsinki,Helsingfors,CityBike Finland,20,24.9283272,60.1775598
38,038,Töölöntori,Tölötorg,Töölöntori,Töölöntorinkatu 11,Tölötorggatan 11,Helsinki,Helsingfors,CityBike Finland,16,24.9249114,60.1791231
39,039,Ooppera,Nationaloperan,Opera,Mannerheimintie 62,Mannerheimvägen 62,Helsinki,Helsingfors,CityBike Finland,25,24.926687,60.1825529
40,040,Hakaniemi (M),Hagnäs (M),Hakaniemi (M),John Stenberginranta 6,John Stenbergs strand 6,Helsinki,Helsingfors,CityBike Finland,28,24.95218124892,60.17810631604
41,041,Ympyrätalo,Runda huset,Ympyrätalo,Porthaninrinne 1,Porthansbrinken 1,Helsinki,Helsingfors,CityBike Finland,29,24.9494,60.180863
42,042,Haapaniemenkatu,Aspnäsgatan,Haapaniemenkatu,Haapaniemenkatu 2,Aspnäsgatan 2,Helsinki,Helsingfors,CityBike Finland,19,24.9551808216932,60.1831065830755
43,043,Karhupuisto,Björnparken,Karhupuisto,Agricolankatu 11,Agricolagatan 11,Helsinki,Helsingfors,CityBike Finland,20,24.9526763,60.1842833
44,044,Sörnäinen (M),Sörnäs (M),Sörnäinen (M),Vaasanpuistikko 1a,Vaasanpuistikko 1a,Helsinki,Helsingfors,CityBike Finland,21,24.9608921062125,60.1880380542668
45,045,Brahen kenttä,Braheplan,Brahen kenttä,Helsinginkatu 22,Helsingegatan 22,Helsinki,Helsingfors,CityBike Finland,20,24.9509168,60.1868618
46,046,Diakoniapuisto,Diakoniparken,Diakoniapuisto,Helsinginkatu 44,Helsingegatan 44,Helsinki,Helsingfors,CityBike Finland,10,24.9418576,60.1862877
47,047,Vanha Kauppahalli,Salutorget,Market Square,Lyypekinlaituri,Lybeckskajen,Helsinki,Helsingfors,CityBike Finland,23,24.953535,60.165343
48,048,Mastokatu,Mastgatan,Mastokatu,Mastokatu 2,Mastgatan 2,Helsinki,Helsingfors,CityBike Finland,16,24.9674861,60.1647545
49,049,Annankatu,Annankatu,Annankatu,Annankatu 5,Annegatan 5,Helsinki,Helsingfors,CityBike Finland,16,24.94177084206,60.16345894291
50,050,Melkonkuja,Melkögränd,Melkonkuja,Melkonkuja 1,Melkögränd 1,Helsinki,Helsingfors,CityBike Finland,12,24.8861094,60.1498127
51,051,Itälahdenkatu,Österviksgatan,Itälahdenkatu,Itälahdenkatu 15,Österviksgatan 15,Helsinki,Helsingfors,CityBike Finland,13,24.8812502,60.15066
52,052,Heikkilänaukio,Heikasplatsen,Heikkilänaukio,Heikkilänaukio 1,Heikasplatsen 1,Helsinki,Helsingfors,CityBike Finland,21,24.8793159,60.1540763
53,053,Heikkiläntie,Heikasvägen,Heikkiläntie,Heikkiläntie 7,Heikasvägen 7,Helsinki,Helsingfors,CityBike Finland,12,24.8850653,60.156817
54,054,Gyldenintie,Gyldénsvägen,Gyldenintie,Gyldenintie 2,Gyldénsvägen 2,Helsinki,Helsingfors,CityBike Finland,36,24.8766658,60.1583842
55,055,Puistokaari,Parksvängen,Puistokaari,Isokaari 33,Storsvängen 33,Helsinki,Helsingfors,CityBike Finland,16,24.85986626853,60.16169596138
56,056,Luoteisväylä,Nordvästpassagen,Luoteisväylä,Luoteisväylä 17,Nordvästpassagen 17,Helsinki,Helsingfors,CityBike Finland,12,24.8601992,60.1654485
57,057,Lauttasaaren ostoskeskus,Drumsö köpcentrum,Lauttasaari Shopping Center,Lauttasaarentie 26,Drumsövägen 26,Helsinki,Helsingfors,CityBike Finland,26,24.8815441,60.1603306
58,058,Lauttasaarensilta,Drumsö bro,Lauttasaarensilta,Lauttasaarentie 1,Drumsövägen 1,Helsinki,Helsingfors,CityBike Finland,20,24.8926386,60.1615512
59,059,Salmisaarenranta,Sundholmsstranden,Salmisaarenranta,Salmisaarenranta 9,Sundholmstranden 9,Helsinki,Helsingfors,CityBike Finland,21,24.90096080349,60.16478138043
60,060,Porkkalankatu,Porkalagatan,Porkkalankatu,Itämerenkatu 34,Östersjögatan 34,Helsinki,Helsingfors,CityBike Finland,42,24.905336,60.1632493
61,061,Länsisatamankatu,Västrahamnsgatan,Länsisatamankatu,Länsisatamankatu 19,Västrahamnsgatan 19,Helsinki,Helsingfors,CityBike Finland,16,24.909692,60.1589276
62,062,Messitytönkatu,Mässflicksgatan,Messitytönkatu,Selkämerenkatu 12,Bottenhavsgatan 12,Helsinki,Helsingfors,CityBike Finland,20,24.9158734,60.1610901
63,063,Jätkäsaarenlaituri,Busholmskajen,Jätkäsaarenlaituri,Jätkäsaarenlaituri 1,Busholmskajen 1,Helsinki,Helsingfors,CityBike Finland,24,24.9214896,60.1619311
64,064,Tyynenmerenkatu,Stillahavsgatan,Tyynenmerenkatu,Tyynenmerenkatu 9,Stillhavsgatan 9,Helsinki,Helsingfors,CityBike Finland,30,24.920661,60.156838
65,065,Hylkeenpyytäjänkatu,Säljägargatan,Hylkeenpyytäjänkatu,Hylkeenpyytäjänkatu 1a,Säljägargatan 1a,Helsinki,Helsingfors,CityBike Finland,30,24.9312540670602,60.1535296817898
66,066,Ehrenströmintie,Ehrenströmsvägen,Ehrenströmintie,Ehrenströmintie 3,Ehrenströmsvägen 3,Helsinki,Helsingfors,CityBike Finland,20,24.9591271,60.155309
67,067,Perämiehenkatu,Styrmansgatan,Perämiehenkatu,Perämiehenkatu 15,Styrmansgatan,Helsinki,Helsingfors,CityBike Finland,16,24.93383428634,60.15997725117
68,068,Albertinkatu,Albertsgatan,Albertinkatu,Albertinkatu 17,Albertsgatan 17,Helsinki,Helsingfors,CityBike Finland,20,24.9368179,60.1618359
69,69,Kalevankatu,Kalevagatan,Kalevankatu,Albertinkatu 35,Albertsgatan 35,Helsinki,Helsingfors,CityBike Finland,16,24.9314323,60.1656962
70,069,Sammonpuistikko,Samposkvären,Sammonpuistikko,Sammonkatu 3,Sampogatan 3,Helsinki,Helsingfors,CityBike Finland,14,24.9224112,60.1731473
71,071,Hietaniemenkatu,Sanduddsgatan,Hietaniemenkatu,Hietaniemenkatu 20,Sanduddsgatan 20,Helsinki,Helsingfors,CityBike Finland,24,24.91127964812,60.17261154618
72,072,Eteläinen Hesperiankatu,Södra Hesperiagatan,Eteläinen Hesperiankatu,Eteläinen Hesperiankatu 38,Södrä Hesperiagatan 38,Helsinki,Helsingfors,CityBike Finland,18,24.9156627516855,60.1755878740783
73,073,Kesäkatu,Sommargatan,Kesäkatu,Kesäkatu 8,Sommargatan 8,Helsinki,Helsingfors,CityBike Finland,14,24.9132504,60.1792967
74,074,Rajasaarentie,Råholmsvägen,Rajasaarentie,Rajasaarentie 6,Råholmsvägen,Helsinki,Helsingfors,CityBike Finland,16,24.911127,60.183137
75,075,Korjaamo,Korjaamo,Korjaamo,Töölönkatu 51a,Tölögatan 51a,Helsinki,Helsingfors,CityBike Finland,25,24.9198371,60.1838677
76,076,Olympiastadion,Olympiastadion,Olympic Stadium,Toivonkatu 3,Toivogatan 3,Helsinki,Helsingfors,CityBike Finland,20,24.9249741,60.1845055
77,077,Nordenskiöldinaukio,Nordenskiöldsplatsen,Nordenskiöldinaukio,Linnankoskenkatu 15-17,Linnankoskigatan 15-17,Helsinki,Helsingfors,CityBike Finland,16,24.9172498411259,60.185236329671
78,078,Messeniuksenkatu,Messeniusgatan,Messeniuksenkatu,Messeniuksenkatu 1a,Messeniusgatan 1a,Helsinki,Helsingfors,CityBike Finland,24,24.9180102,60.1878352
79,079,Uimastadion,Simstadion,Swimming Stadium,Hammarskjöldintie 5,Hammarsköljdsvägen 5,Helsinki,Helsingfors,CityBike Finland,18,24.9292286,60.1892172
80,080,Jäähalli,Ishall,Ice hall,Nordenskiöldinkatu 11,Nordenskiöldsgatan 11,Helsinki,Helsingfors,CityBike Finland,22,24.9205978,60.1894025
81,081,Stenbäckinkatu,Stenbäcksgatan,Stenbäckinkatu,Stenbäckinkatu 9,Stenbäcksgatan 9,Helsinki,Helsingfors,CityBike Finland,18,24.9123717,60.1883091
82,082,Töölöntulli,Tölötull,Töölöntulli,Mannerheimintie 112,Mannerheimvägen 112,Helsinki,Helsingfors,CityBike Finland,16,24.9128271354279,60.1909569322666
83,083,Meilahden sairaala,Mejlans sjukhus,Meilahti Hospital,Haartmaninkatu 4,Haartmansgatan 4,Helsinki,Helsingfors,CityBike Finland,28,24.9083351,60.1902195
84,084,Paciuksenkatu,Paciusgatan,Paciuksenkatu,Mäntytie 2,Tallvägen 2,Helsinki,Helsingfors,CityBike Finland,14,24.8999100503645,60.1912021559682
85,085,Jalavatie,Almvägen,Jalavatie,Jalavatie 10,Almvägen 10,Helsinki,Helsingfors,CityBike Finland,16,24.905889,60.1934696
86,086,Kuusitie,Granvägen,Kuusitie,Mannerheimintie 152,Mannerheimvägen 152,Helsinki,Helsingfors,CityBike Finland,20,24.9018997,60.1952452
87,087,Kustaankatu,Gustavsgatan,Kustaankatu,Kustaankatu 4b,Gustafsgatan 4b,Helsinki,Helsingfors,CityBike Finland,20,24.95597593163,60.1882752174
88,088,Kiskontie,Kiskovägen,Kiskontie,Mannerheimintie 99,Mannerheimvägen 99,Helsinki,Helsingfors,CityBike Finland,20,24.9012997,60.1989402
89,089,Tilkanvierto,Tilkkalänken,Tilkanvierto,Tilkankatu 41,Tilkgatan 41,Helsinki,Helsingfors,CityBike Finland,16,24.899261,60.1975329
90,090,Paciuksenkaari,Paciussvängen,Paciuksenkaari,Johannesbergintie 6,Johannesbergsvägen 6,Helsinki,Helsingfors,CityBike Finland,20,24.8911179,60.1944475
91,091,Seurasaari,Fölisön,Seurasaari,Seurasaarentie 15,Fölisövägen 15,Helsinki,Helsingfors,CityBike Finland,23,24.8847362,60.188399
92,092,Saunalahdentie,Bastuviksvägen,Saunalahdentie,Saunalahdentie 1,Bastuviksvägen 1,Helsinki,Helsingfors,CityBike Finland,8,24.87922144235,60.1926305828
93,093,Torpanranta,Torpanranta,Torpanranta,Laajalahdentie 1,Bredsvikvägen 1,Helsinki,Helsingfors,CityBike Finland,16,24.8713963,60.1948358
94,094,Laajalahden aukio,Bredviksplatsen,Laajalahden aukio,Munkkiniemen puistotie 21,Munksnäs allén 21,Helsinki,Helsingfors,CityBike Finland,16,24.8762217165007,60.197930907568
95,095,Munkkiniemen aukio,Munksnäsplatsen,Munkkiniemen aukio,Munkkiniemen puistotie 1,Munksnäs allén 1,Helsinki,Helsingfors,CityBike Finland,18,24.8840917,60.1967196
96,096,Huopalahdentie,Hoplaksvägen,Huopalahdentie,Huopalahdentie 13,Hoplaksvägen 13,Helsinki,Helsingfors,CityBike Finland,14,24.8836209,60.1996653
97,098,Ulvilantie,Ulfsbyvägen,Ulvilantie,Porintie 1,Björneborgsvägen,Helsinki,Helsingfors,CityBike Finland,12,24.8708833,60.2038803
98,099,Muusantori,Musans torg,Muusantori,Muusantori 5,Musanstorg 5,Helsinki,Helsingfors,CityBike Finland,12,24.8559544,60.2071193
99,100,Teljäntie,Täljevägen,Teljäntie,Ulvilantie 21,Ulfsbyvägen 21,Helsinki,Helsingfors,CityBike Finland,12,24.868739477208,60.2096956258026
100,101,Munkkivuoren ostoskeskus,Munkhöjdens köpcentrum,Munkkivuori Shopping Center,Huopalahdentie 20b,Hoplaksvägen 20b,Helsinki,Helsingfors,CityBike Finland,24,24.8798291,60.2059946
101,103,Vihdintie,Vichtisvägen,Vihdintie,Vihdintie 2,Vichtisvägen 2,Helsinki,Helsingfors,CityBike Finland,16,24.8895209,60.208925
102,104,Kriikunakuja,Krikongränden,Kriikunakuja,Korppaanmäentie 26,Korpasbackavägen 26,Helsinki,Helsingfors,CityBike Finland,16,24.8916817,60.2056785
103,105,Tilkantori,Tilktorget,Tilkantori,Tilkantori 3,Tilktorget 3,Helsinki,Helsingfors,CityBike Finland,17,24.8934761,60.2028392
104,106,Korppaanmäentie,Korpasbackavägen,Korppaanmäentie,Mannerheimintie 170,Mannerheimvägen,Helsinki,Helsingfors,CityBike Finland,16,24.8989297,60.2034735
105,107,Tenholantie,Tenalavägen,Tenholantie,Kiskontie 22,Kiskovägen 22,Helsinki,Helsingfors,CityBike Finland,18,24.9054609,60.2024393
106,108,Radiokatu,Radiogatan,Radiokatu,Radiokatu 24,Radiogatan 24,Helsinki,Helsingfors,CityBike Finland,14,24.91794928954,60.20444389917
107,109,Hertanmäenkatu,Hertabacksgatan,Hertanmäenkatu,Radiokatu 6,Radiogatan 6,Helsinki,Helsingfors,CityBike Finland,20,24.9226300335,60.20232751643
108,110,Maistraatintori,Magistratstorget,Maistraatintori,Pasilanraitio 9b,Böletået 9b,Helsinki,Helsingfors,CityBike Finland,14,24.924304,60.200047
109,111,Esterinportti,Estersporten,Esterinportti,Pasilanraitio 5,Böletået 5,Helsinki,Helsingfors,CityBike Finland,21,24.9267808,60.1975724
110,112,Rautatieläisenkatu,Järnvägsmannagatan,Rautatieläisenkatu,Ratapihantie 13,Bangårdsvägentie 13,Helsinki,Helsingfors,CityBike Finland,23,24.9332721,60.2014382
111,113,Veturitori,Loktorget,Veturitori,Veturitori,Loktorget,Helsinki,Helsingfors,CityBike Finland,40,24.93520368471,60.19970941415
112,114,Ratapihantie,Bangårdsvägen,Ratapihantie,Ratapihantie 3,Bangårdsvägentie 3,Helsinki,Helsingfors,CityBike Finland,23,24.93588683501,60.19701384571
113,115,Venttiilikuja,Ventilgränden,Venttiilikuja,Venttiilikuja  1 & 2,Ventilgränden 1 & 2,Helsinki,Helsingfors,CityBike Finland,18,24.941578,60.1942095
114,116,Linnanmäki,Borgbacken,Linnanmäki Amusement Park,Viipurinkatu 20,Viborgsgatan 20,Helsinki,Helsingfors,CityBike Finland,32,24.9401593,60.1911411
115,117,Brahen puistikko,Braheskvären,Brahen puistikko,Sturenkatu 12,Sturegatan 12,Helsinki,Helsingfors,CityBike Finland,12,24.9481024,60.1896706
